zona,atraccion,tiempo_espera,abierta,ultima_actualizacion,fecha,hora,dia_semana,mes,fin_de_semana,temperatura,humedad,sensacion_termica,codigo_clima,temporada
Cartoon Village,Marvin el Marciano Cohetes Espaciales,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Cartoon Village,Pato Lucas Coches Locos,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Cartoon Village,Piolín y Silvestre Paseo en Autobús,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Cartoon Village,Rápidos ACME,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Cartoon Village,Scooby-Doo's Tea Party Mistery,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Cartoon Village,Tom & Jerry Picnic en el Parque,10,True,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Cartoon Village,Wile E. Coyote Zona de Explosión,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
DC Super Heroes World,Batman Gotham City Escape,10,True,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
DC Super Heroes World,La Venganza del Enigma,20,True,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
DC Super Heroes World,Lex Luthor Invertatron,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,True,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
DC Super Heroes World,Shadows of Arkham,15,True,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
DC Super Heroes World,Superman La Atracción de Acero,15,True,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
